seq,target
Glc(a1-1)[L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-3)L-Xyl(b1-4)L-Aco(a1-3)Gal(b1-3)Glc(b1-4)]Glc,1
GlcNAc(b1-2)[Gal(b1-3)[NeuNAc(a2-6)]GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0
Man(b1-2)Man(b1-2)D-4dLyxHexOMe,0
Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)Glc,0
GalA(a1-4)GalA(a1-4)GalA(a1-2)[GalOMe(a1-4)GalOMe(a1-4)]Rha,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc,0
GlcA(b1-2)[Rha(a1-3)]Man,0
Man(b1-3)[Man(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0
GlcOAcNOOle(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOMe(a1-6)]GlcNAc,0
Gal(b1-3)[D-Fuc(a1-3)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0
